Diss,Name,Artist,Category,Subcategory,Release Date,Release Order,Length of song (min),Streams
"You lied about your son, you lied about your daughter, huh",Meet The Grahams,Kendrick,Family,Hidden children,05/03/2024,8,6.53,135256450
You lied about them other kids that's out there hopin' that you come,Meet The Grahams,Kendrick,Family,Hidden children,05/03/2024,8,6.53,135256450
You lied about the only artist that can offer you some help,Meet The Grahams,Kendrick,Character,Behavioural Criticism,05/03/2024,8,6.53,135256450
"Fuck a rap battle, this a long life battle with yourself",Meet The Grahams,Kendrick,Character,Moral Character,05/03/2024,8,6.53,135256450
"Deebo any rap nigga, he a free throw",Not Like Us,Kendrick,Career and Talent,Artistic ability,05/04/2024,9,4.57,1106296215
"Man down, call an amberlamps, tell him, ""Breathe, bro""",Not Like Us,Kendrick,Violence and Threats,Implied Threats/Intimidation,05/04/2024,9,4.57,1106296215
"Nail a nigga to the cross, he walk around like Teezo",Not Like Us,Kendrick,Violence and Threats,Implied Threats/Intimidation,05/04/2024,9,4.57,1106296215
What's up with these jabroni-ass niggas tryna see Compton?,Not Like Us,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,05/04/2024,9,4.57,1106296215
"The industry can hate me, fuck 'em all and they mama",Not Like Us,Kendrick,Career and Talent,Commercial success/lack thereof,05/04/2024,9,4.57,1106296215
"How many opps you really got? I mean, it's too many options",Not Like Us,Kendrick,Career and Talent,Industry Connects/Exploitation,05/04/2024,9,4.57,1106296215
"I'm finna pass on this body, I'm John Stockton",Not Like Us,Kendrick,Women,Sexual misconduct/predation,05/04/2024,9,4.57,1106296215
Beat your ass and hide the Bible if God watchin',Not Like Us,Kendrick,Violence and Threats,Implied Threats/Intimidation,05/04/2024,9,4.57,1106296215
Sometimes you gotta pop out and show niggas,Not Like Us,Kendrick,Violence and Threats,Implied Threats/Intimidation,05/04/2024,9,4.57,1106296215
"Certified boogeyman, I'm the one that up the score with 'em",Not Like Us,Kendrick,Violence and Threats,Implied Threats/Intimidation,05/04/2024,9,4.57,1106296215
"Walk him down, whole time, I know he got some ho in him",Not Like Us,Kendrick,Street Cred and Cultural Authenticity,Street Cred/Gang Reference,05/04/2024,9,4.57,1106296215
"Walk him down, whole time, I know he got some ho in him",Not Like Us,Kendrick,Violence and Threats,Physical Harm/Direct Threats,05/04/2024,9,4.57,1106296215
"Pole on him, extort shit, bully Death Row on him",Not Like Us,Kendrick,Violence and Threats,Physical Harm/Direct Threats,05/04/2024,9,4.57,1106296215
"Pole on him, extort shit, bully Death Row on him",Not Like Us,Kendrick,Street Cred and Cultural Authenticity,Street Cred/Gang Reference,05/04/2024,9,4.57,1106296215
"Say, Drake, I hear you like 'em young",Not Like Us,Kendrick,Women,Sexual misconduct/predation,05/04/2024,9,4.57,1106296215
You better not ever go to cell block one,Not Like Us,Kendrick,Women,Sexual misconduct/predation,05/04/2024,9,4.57,1106296215
To any bitch that talk to him and they in love,Not Like Us,Kendrick,Women,Sexual misconduct/predation,05/04/2024,9,4.57,1106296215
Just make sure you hide your lil' sister from him,Not Like Us,Kendrick,Women,Sexual misconduct/predation,05/04/2024,9,4.57,1106296215
They tell me Chubbs the only one that get your hand-me-downs,Not Like Us,Kendrick,Women,Sexual misconduct/predation,05/04/2024,9,4.57,1106296215
They tell me Chubbs the only one that get your hand-me-downs,Not Like Us,Kendrick,Family,Parenting abilities/presence,05/04/2024,9,4.57,1106296215
"And Baka got a weird case, why is he around?",Not Like Us,Kendrick,Women,Sexual misconduct/predation,05/04/2024,9,4.57,1106296215
Certified Lover Boy? Certified pedophiles,Not Like Us,Kendrick,Women,Sexual misconduct/predation,05/04/2024,9,4.57,1106296215
"Wop, wop, wop, wop, wop, Dot, fuck 'em up",Not Like Us,Kendrick,Violence and Threats,Physical Harm/Direct Threats,05/04/2024,9,4.57,1106296215
Why you trollin' like a bitch? Ain't you tired?,Not Like Us,Kendrick,Physicality and Masculinity,Sexual Prowess/Manhood,05/04/2024,9,4.57,1106296215
Tryna strike a chord and it's probably A minor,Not Like Us,Kendrick,Women,Sexual misconduct/predation,05/04/2024,9,4.57,1106296215
"They not like us, they not like us, they not like us",Not Like Us,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,05/04/2024,9,4.57,1106296215
"You think the Bay gon' let you disrespect Pac, nigga?",Not Like Us,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,05/04/2024,9,4.57,1106296215
"I think that Oakland show gon' be your last stop, nigga",Not Like Us,Kendrick,Street Cred and Cultural Authenticity,Street Cred/Gang Reference,05/04/2024,9,4.57,1106296215
"I think that Oakland show gon' be your last stop, nigga",Not Like Us,Kendrick,Violence and Threats,Physical Harm/Direct Threats,05/04/2024,9,4.57,1106296215
"Did Cole foul, I don't know why you still pretendin'",Not Like Us,Kendrick,Character,Public vs private self,05/04/2024,9,4.57,1106296215
"What is the owl? Bird niggas and burnt bitches, go",Not Like Us,Kendrick,Career and Talent,Commercial success/lack thereof,05/04/2024,9,4.57,1106296215
"The audience not dumb
Shape the stories how you want, hey, Drake, they're not slow
",Not Like Us,Kendrick,Character,Behavioural Criticism,05/04/2024,9,4.57,1106296215
"Rabbit hole is still deep, I can go further, I promise",Not Like Us,Kendrick,Career and Talent,Goading/Provocation/Warning,05/04/2024,9,4.57,1106296215
Ain't that somethin'? B-Rad stands for bitch and you Malibu most wanted,Not Like Us,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,05/04/2024,9,4.57,1106296215
"Ain't no law, boy, you ball boy, fetch Gatorade or somethin'",Not Like Us,Kendrick,Career and Talent,Artistic ability,05/04/2024,9,4.57,1106296215
"Since 2009, I had this bitch jumpin'
You niggas'll get a wedgie, be flipped over your boxers
",Not Like Us,Kendrick,Career and Talent,Artistic ability,05/04/2024,9,4.57,1106296215
"What OVO for? The ""Other Vaginal Option""? Pussy",Not Like Us,Kendrick,Women,Misogyny,05/04/2024,9,4.57,1106296215
"Nigga better straighten they posture, got famous all up in Compton",Not Like Us,Kendrick,Physicality and Masculinity,Sexual Prowess/Manhood,05/04/2024,9,4.57,1106296215
"Nigga better straighten they posture, got famous all up in Compton",Not Like Us,Kendrick,Physicality and Masculinity,Physical Attributes,05/04/2024,9,4.57,1106296215
"Might write this for the doctorate, tell the pop star quit hidin'",Not Like Us,Kendrick,Career and Talent,Artistic ability,05/04/2024,9,4.57,1106296215
"Fuck a caption, want action, no accident",Not Like Us,Kendrick,Career and Talent,Goading/Provocation/Warning,05/04/2024,9,4.57,1106296215
"And I'm hands-on, he fuck around, get polished",Not Like Us,Kendrick,Violence and Threats,Physical Harm/Direct Threats,05/04/2024,9,4.57,1106296215
"Fucked on Wayne girl while he was in jail, that's connivin'",Not Like Us,Kendrick,Women,Infidelity,05/04/2024,9,4.57,1106296215
Then get his face tatted like a bitch apologizin',Not Like Us,Kendrick,Women,Misogyny,05/04/2024,9,4.57,1106296215
"I'm glad DeRoz' came home, y'all didn't deserve him neither",Not Like Us,Kendrick,Street Cred and Cultural Authenticity,Geographical Claims,05/04/2024,9,4.57,1106296215
"From Alondra down to Central, nigga better not speak on Serena",Not Like Us,Kendrick,Women,Misogyny,05/04/2024,9,4.57,1106296215
"And your homeboy need subpoena, that predator move in flocks",Not Like Us,Kendrick,Women,Sexual misconduct/predation,05/04/2024,9,4.57,1106296215
That name gotta be registered and placed on neighborhood watch,Not Like Us,Kendrick,Women,Sexual misconduct/predation,05/04/2024,9,4.57,1106296215
"Put the wrong label on me, I'ma get 'em dropped, ayy",Not Like Us,Kendrick,Violence and Threats,Implied Threats/Intimidation,05/04/2024,9,4.57,1106296215
"Sweet Chin Music and I won't pass the aux, ayy",Not Like Us,Kendrick,Violence and Threats,Physical Harm/Direct Threats,05/04/2024,9,4.57,1106296215
"How many stocks do I really have in stock? Ayy
One, two, three, four, five, plus five, ayy
",Not Like Us,Kendrick,Career and Talent,Commercial success/lack thereof,05/04/2024,9,4.57,1106296215
"Devil is a lie, he a 69 God, ayy",Not Like Us,Kendrick,Women,Sexual misconduct/predation,05/04/2024,9,4.57,1106296215
"Freaky-ass niggas need to stay they ass inside, ayy",Not Like Us,Kendrick,Women,Sexual misconduct/predation,05/04/2024,9,4.57,1106296215
"Roll they ass up like a fresh pack of 'za, ayy",Not Like Us,Kendrick,Character,Implied Threats/Intimidation,05/04/2024,9,4.57,1106296215
"Once upon a time, all of us was in chains
Homie still doubled down callin' us some slaves
",Not Like Us,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,05/04/2024,9,4.57,1106296215
"Atlanta was the Mecca, buildin' railroads and trains",Not Like Us,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,05/04/2024,9,4.57,1106296215
"The settlers was usin' townfolk to make 'em richer
Fast-forward, 2024, you got the same agenda
",Not Like Us,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,05/04/2024,9,4.57,1106296215
You run to Atlanta when you need a check balance,Not Like Us,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,05/04/2024,9,4.57,1106296215
"Let me break it down for you, this the real nigga challenge",Not Like Us,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,05/04/2024,9,4.57,1106296215
"You called Future when you didn't see the club (Ayy, what?)",Not Like Us,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,05/04/2024,9,4.57,1106296215
Lil Baby helped you get your lingo up (What?),Not Like Us,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,05/04/2024,9,4.57,1106296215
21 gave you false street cred,Not Like Us,Kendrick,Street Cred and Cultural Authenticity,Street Cred/Gang Reference,05/04/2024,9,4.57,1106296215
"Thug made you feel like you a slime in your head (Ayy, what?)",Not Like Us,Kendrick,Street Cred and Cultural Authenticity,Street Cred/Gang Reference,05/04/2024,9,4.57,1106296215
Quavo said you can be from Northside (What?),Not Like Us,Kendrick,Street Cred and Cultural Authenticity,Geographical Claims,05/04/2024,9,4.57,1106296215
"2 Chainz say you good, but he lied",Not Like Us,Kendrick,Street Cred and Cultural Authenticity,Street Cred/Gang Reference,05/04/2024,9,4.57,1106296215
You run to Atlanta when you need a few dollars,Not Like Us,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,05/04/2024,9,4.57,1106296215
"No, you not a colleague, you a fuckin' colonizer",Not Like Us,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,05/04/2024,9,4.57,1106296215
It was God's plan to show y'all the liar,Not Like Us,Kendrick,Character,Moral Character,05/04/2024,9,4.57,1106296215
"He a fan, he a fan, he a",Not Like Us,Kendrick,Street Cred and Cultural Authenticity,Cultural Authenticity,05/04/2024,9,4.57,1106296215
"Freaky-ass nigga, he a 69 God",Not Like Us,Kendrick,Women,Sexual misconduct/predation,05/04/2024,9,4.57,1106296215
"Hey, hey, hey, hey, run for your life",Not Like Us,Kendrick,Women,Sexual misconduct/predation,05/04/2024,9,4.57,1106296215
"Say, ""OV-ho"" (OV-ho)",Not Like Us,Kendrick,Women,Misogyny,05/04/2024,9,4.57,1106296215
"Then step this way, step that way",Not Like Us,Kendrick,Career and Talent,Artistic ability,05/04/2024,9,4.57,1106296215
Just let me see ya prove it,The Heart Part 6,Drake,Career and Talent,Goading/Provocation/Warning,05/05/2024,10,5.42,
The Pulitzer Prize winner is definitely spiralin',The Heart Part 6,Drake,Career and Talent,Commercial success/lack thereof,05/05/2024,10,5.42,
"I got your fucking lines tapped, I swear that I'm dialed in",The Heart Part 6,Drake,Career and Talent,Goading/Provocation/Warning,05/05/2024,10,5.42,
"First, I was a rat, so where's the proof of the trial then?
Where's the paperwork or the cabinet it's filed in?
",The Heart Part 6,Drake,Character,Behavioural Criticism,05/05/2024,10,5.42,
"1090 Jake woulda took all the walls down
The streets woulda had me hidin' out in a small town
",The Heart Part 6,Drake,Career and Talent,Industry Connects/Exploitation,05/05/2024,10,5.42,
"My Montreal connects stand up, not fall down",The Heart Part 6,Drake,Street Cred and Cultural Authenticity,Street Cred/Gang Reference,05/05/2024,10,5.42,
"The ones that you're getting your stories from, they all clowns",The Heart Part 6,Drake,Career and Talent,Industry Connects/Exploitation,05/05/2024,10,5.42,
I am a war general sеasoned in preparation,The Heart Part 6,Drake,Violence and Threats,Implied Threats/Intimidation,05/05/2024,10,5.42,
"My jacket is covеred in medals, honor and decoration",The Heart Part 6,Drake,Violence and Threats,Implied Threats/Intimidation,05/05/2024,10,5.42,
"You waited for this moment, overcome with the desperation",The Heart Part 6,Drake,Character,Behavioural Criticism,05/05/2024,10,5.42,
"We plotted for a week, and then we fed you the information",The Heart Part 6,Drake,Character,Public vs private self,05/05/2024,10,5.42,
"A daughter that's eleven years old, I bet he takes it
We thought about givin' a fake name or a destination
",The Heart Part 6,Drake,Family,Hidden children,05/05/2024,10,5.42,
"But you so thirsty, you not concerned with investigation",The Heart Part 6,Drake,Character,Behavioural Criticism,05/05/2024,10,5.42,
"Instead you in that Venice studio, it's a celebration",The Heart Part 6,Drake,Career and Talent,Commercial success/lack thereof,05/05/2024,10,5.42,
You gotta learn to fact-check things and be less impatient,The Heart Part 6,Drake,Career and Talent,Goading/Provocation/Warning,05/05/2024,10,5.42,
Your fans are rejoicin' thinkin' this is my expiration,The Heart Part 6,Drake,Career and Talent,Commercial success/lack thereof,05/05/2024,10,5.42,
"Even the picture you used, the jokes, and the medication
The Maybach glove and the drug he uses for less inflation
",The Heart Part 6,Drake,Family,Family dynamics,05/05/2024,10,5.42,
"Master manipulator, you bit on the speculation",The Heart Part 6,Drake,Character,Behavioural Criticism,05/05/2024,10,5.42,
"You dumb and reactive, nigga, I'm petty with dedication",The Heart Part 6,Drake,Character,Behavioural Criticism,05/05/2024,10,5.42,
What about the bones we dug up in that excavation?,The Heart Part 6,Drake,Career and Talent,Goading/Provocation/Warning,05/05/2024,10,5.42,
And why isn't Whitney denyin' all of the allegations?,The Heart Part 6,Drake,Women,Infidelity,05/05/2024,10,5.42,
Why is she followin' Dave Free and not Mr. Morale?,The Heart Part 6,Drake,Women,Infidelity,05/05/2024,10,5.42,
"You haven't seen the kids in six months, the distance is wild",The Heart Part 6,Drake,Family,Parenting abilities/presence,05/05/2024,10,5.42,
Dave leavin' heart emojis underneath pics of the child,The Heart Part 6,Drake,Women,Infidelity,05/05/2024,10,5.42,
"Speakin' of anything with a child, let's get to that now",The Heart Part 6,Drake,Career and Talent,Goading/Provocation/Warning,05/05/2024,10,5.42,
This Epstein angle was the shit I expected,The Heart Part 6,Drake,Violence and Threats,Implied Threats/Intimidation,05/05/2024,10,5.42,
"Instead of bein' on some diss-direct shit
You rather fucking grab your pen and misdirect shit
",The Heart Part 6,Drake,Career and Talent,Artistic ability,05/05/2024,10,5.42,
"My mom came over today, and I was like, ""Mother, I—
Mother, I—, mother—,"" ahh, wait a second
",The Heart Part 6,Drake,Family,Family dynamics,05/05/2024,10,5.42,
That's that one record where you say you got molested,The Heart Part 6,Drake,Women,Sexual misconduct/predation,05/05/2024,10,5.42,
This is trauma from your own confessions,The Heart Part 6,Drake,Family,Family dynamics,05/05/2024,10,5.42,
"This when your father leave you home alone with no protection, so neglected",The Heart Part 6,Drake,Family,Parenting abilities/presence,05/05/2024,10,5.42,
"That's why these pedophile raps and shit you so obsessed with, it's so excessive",The Heart Part 6,Drake,Women,Sexual misconduct/predation,05/05/2024,10,5.42,
"They actin' like it's so aggressive, but you just never known affection",The Heart Part 6,Drake,Family,Family dynamics,05/05/2024,10,5.42,
"I don't wanna diss you anymore, this really got me second-guessin'",The Heart Part 6,Drake,Career and Talent,Artistic ability,05/05/2024,10,5.42,
"Touch My Body by Mariah Carey play, you probably start reflectin'",The Heart Part 6,Drake,Women,Sexual misconduct/predation,05/05/2024,10,5.42,
"I never been with no one underage, but now I understand why this the angle that you really mess with",The Heart Part 6,Drake,Women,Sexual misconduct/predation,05/05/2024,10,5.42,
"Just for clarity, I feel disgusted, I'm too respected",The Heart Part 6,Drake,Character,Behavioural Criticism,05/05/2024,10,5.42,
"If I was fucking young girls, I promise I'd have been arrested",The Heart Part 6,Drake,Women,Sexual misconduct/predation,05/05/2024,10,5.42,
I'm way too famous for this shit you just suggested,The Heart Part 6,Drake,Career and Talent,Commercial success/lack thereof,05/05/2024,10,5.42,
"Deep cuts that never healed, and now they got infected",The Heart Part 6,Drake,Character,Moral Character,05/05/2024,10,5.42,
"Like if Dave really fucked your girl and got her pregnant, talk about breedin' resentment",The Heart Part 6,Drake,Women,Infidelity,05/05/2024,10,5.42,
"But you a piece of shit, so this shit really no coincidence",The Heart Part 6,Drake,Character,Behavioural Criticism,05/05/2024,10,5.42,
"Drake is not a name that you gon' see on no sex offender list, Eazy-Duz-It",The Heart Part 6,Drake,Women,Sexual misconduct/predation,05/05/2024,10,5.42,
"You mentionin' A minor, but niggas gotta B sharp and tell the fans, ""Who was it?""",The Heart Part 6,Drake,Career and Talent,Commercial success/lack thereof,05/05/2024,10,5.42,
"You thought you left D flat, D major",The Heart Part 6,Drake,Career and Talent,Commercial success/lack thereof,05/05/2024,10,5.42,
I'll slit your throat with the razor,The Heart Part 6,Drake,Violence and Threats,Physical Harm/Direct Threats,05/05/2024,10,5.42,
I'm your baby mama's screen saver,The Heart Part 6,Drake,Women,Misogyny,05/05/2024,10,5.42,
"Only fuckin' with Whitneys, not Millie Bobby Browns, I'd never look twice at no teenager",The Heart Part 6,Drake,Women,Sexual misconduct/predation,05/05/2024,10,5.42,
"I'm a fucking hitmaker, dog, not a peacemaker",The Heart Part 6,Drake,Career and Talent,Artistic ability,05/05/2024,10,5.42,
"Yeah, bullets that I'm stuffin' in each chamber, your ass in extreme danger",The Heart Part 6,Drake,Violence and Threats,Physical Harm/Direct Threats,05/05/2024,10,5.42,
"Stop buyin' views and bot comments, you may as well keep the paper",The Heart Part 6,Drake,Career and Talent,Artistic ability,05/05/2024,10,5.42,
Shit you 'bout to need for later,The Heart Part 6,Drake,Career and Talent,Commercial success/lack thereof,05/05/2024,10,5.42,
I give a fuck about your streamin' data,The Heart Part 6,Drake,Career and Talent,Commercial success/lack thereof,05/05/2024,10,5.42,
"You could drop a hundred more records, I'll see you later",The Heart Part 6,Drake,Career and Talent,Commercial success/lack thereof,05/05/2024,10,5.42,
"I don't wanna fight with a woman beater, it feeds your nature",The Heart Part 6,Drake,Women,Abuse,05/05/2024,10,5.42,
"If you still bumpin' R. Kelly, you could thank the Savior",The Heart Part 6,Drake,Women,Sexual misconduct/predation,05/05/2024,10,5.42,
"Said if they deleted his music, then your music is goin' too, a hypocrite",The Heart Part 6,Drake,Women,Sexual misconduct/predation,05/05/2024,10,5.42,
I don't understand why these people praise ya,The Heart Part 6,Drake,Character,Behavioural Criticism,05/05/2024,10,5.42,
Soundin' like you send him commissary when he need some paper,The Heart Part 6,Drake,Women,Sexual misconduct/predation,05/05/2024,10,5.42,
"Album droppin' soon, no wonder you turn to a clout chaser 'stead of doin' hard labor",The Heart Part 6,Drake,Career and Talent,Commercial success/lack thereof,05/05/2024,10,5.42,
"And Whitney, you can hit me if you need a favor",The Heart Part 6,Drake,Women,Abuse,05/05/2024,10,5.42,
"And when I say I hit ya back, it's a lot safer",The Heart Part 6,Drake,Women,Abuse,05/05/2024,10,5.42,
You would be a worthy competitor if I was really a predator,The Heart Part 6,Drake,Women,Sexual misconduct/predation,05/05/2024,10,5.42,
"And you weren't fuckin' lying to every blogger and editor, but",The Heart Part 6,Drake,Character,Behavioural Criticism,05/05/2024,10,5.42,
"You definitely got this shit burnt the fuck out though, like",The Heart Part 6,Drake,Career and Talent,Artistic ability,05/05/2024,10,5.42,
You got ten more records to drop,The Heart Part 6,Drake,Career and Talent,Goading/Provocation/Warning,05/05/2024,10,5.42,
"The one before the last one, we finessed you into tellin' a story that doesn't even exist",The Heart Part 6,Drake,Career and Talent,Goading/Provocation/Warning,05/05/2024,10,5.42,
"And then, you go and drop the West Coast one to try and cover that up",The Heart Part 6,Drake,Character,Behavioural Criticism,05/05/2024,10,5.42,
"I would like that one, that w—, that-that would be some shit I could dance to if you wasn't
Triplin' down on some whole other bullshit, but
",The Heart Part 6,Drake,Career and Talent,Artistic ability,05/05/2024,10,5.42,
"You know, at least your fans are gettin' some raps out of you",The Heart Part 6,Drake,Career and Talent,Commercial success/lack thereof,05/05/2024,10,5.42,
I'm happy I could motivate you,The Heart Part 6,Drake,Career and Talent,Commercial success/lack thereof,05/05/2024,10,5.42,
"Bring you back to the game, like",The Heart Part 6,Drake,Career and Talent,Artistic ability,05/05/2024,10,5.42,
Just let me know when we're gettin' to the facts,The Heart Part 6,Drake,Character,Behavioural Criticism,05/05/2024,10,5.42,
"Everything in my shit is facts
I'm waitin' on you to return the favor, like",The Heart Part 6,Drake,Career and Talent,Goading/Provocation/Warning,05/05/2024,10,5.42,